StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q39,Q1,Q1_6_TEXT,Q1,Q3,Q4,Q10_1,Q10_2,Q10_3,Q40_1,Q40_2,Q43,Q44,Q11,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q5,Q6,Q7,Q8,Q9,Q32,Q36,Q35,Q34,Q33,Q15,Q16,Q14
2022-10-06 12:25:19,2022-10-06 13:12:05,IP Address,69.27.248.130,100,2806,True,2022-10-06 13:12:06,R_3RkqolIDssIuINA,,,,,40.9426,-73.1116,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Educational,,,,0,5,Yes,,A few times per month,Every day,Once a month,Every day,A few times per year,Never,A few times per year,Never,Never,Never,Every day,Every day,Every day,Every day,Every day,Every day,Every day,A few times per week,A few times per month,Once a month,Never,Every day,Every day,A few times per year,Every day,"Although at times I do feel burnt out, I truly know that I have one of the greatest jobs in the world in which I am able to support students and families each day. I have not searched for mental health services, but there are days when I think other career choices would have been an easier way to go. Despite challenging days, weeks, or even some years in the field I am confident that I chose the right career path for me.","Although I have not worked in a medical setting, I completed an externship in a hospital during grad school. In that setting I liked feeling like I had more time dedicated to paperwork as needed (SOAP notes, etc.) However, in the school setting I find that there are many resources to support mental health that I did not have access to in the hospital. ",
2022-10-06 15:35:23,2022-10-06 15:55:35,IP Address,172.56.17.187,100,1211,True,2022-10-06 15:55:36,R_3vGc4G5LxSq6tDH,,,,,34.0767,-118.1802,anonymous,EN,I agree,Yes,Female,,California,Urban (population of 50k+),Educational,0,,,0,13,Yes,,A few times per year,A few times per month,Never,Never,Never,Never,A few times per year,Never,Never,Never,Every day,Every day,Every day,Every day,Every day,A few times per week,A few times per year,Never,Every day,A few times per week,Never,Every day,A few times per month,A few times per year,Every day,No,,
2022-10-06 17:06:37,2022-10-06 17:08:53,IP Address,108.21.90.175,100,136,True,2022-10-06 17:08:54,R_3rFZo6Urokiqrkf,,,,,40.7746,-73.4761,anonymous,EN,I agree,No,Female,,New York,Urban (population of 50k+),Educational,,,,0,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06 18:56:19,2022-10-06 19:06:09,IP Address,67.80.103.192,100,589,True,2022-10-06 19:06:09,R_249vf4BAjeNnvzP,,,,,40.8352,-73.0434,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Educational,,40,,0,1,Yes,,A few times per month,A few times per week,A few times per year,A few times per week,Once a month,Never,Every day,Never,Never,Never,Every day,Every day,A few times per month,Every day,Every day,A few times per week,A few times per week,Once a week,Every day,A few times per month,Every day,A few times per week,Every day,A few times per year,A few times per week,"Yes, I did seek out resources for my mental health. ",,"Lack of training in each setting "
2022-10-06 22:33:13,2022-10-06 22:38:19,IP Address,174.212.52.70,100,305,True,2022-10-06 22:38:19,R_1OqSpA8iWybicfT,,,,,28.6344,-81.6221,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Both,22,5,,8,4,No,,Once a month,Once a week,Never,Once a month,A few times per year,A few times per month,Once a month,Never,A few times per year,Never,Every day,Every day,Every day,Every day,A few times per week,A few times per month,Once a month,A few times per year,A few times per week,A few times per week,Once a month,A few times per year,A few times per year,Once a month,A few times per week,,,
2022-10-06 23:10:43,2022-10-06 23:20:19,IP Address,104.28.104.85,100,575,True,2022-10-06 23:20:20,R_8qCWEylDZsHe9Zn,,,,,39.1256,-84.5127,anonymous,EN,I agree,Yes,Female,,Ohio,Urban (population of 50k+),Medical,40,0,0,13,0,Yes,,A few times per month,Every day,A few times per week,A few times per week,Never,Never,A few times per week,Never,Never,Never,Once a week,A few times per week,Every day,Every day,Every day,Once a month,Once a week,A few times per week,Once a week,A few times per week,Never,A few times per month,A few times per month,A few times per year,Every day,No but it did prompt me to take an almost 2 week vacation and I have cut back on a bunch of voluntary work projects and cut back on working from home,,"Side projects away from direct patient care such as supervising graduate practicum students, mentoring an undergraduate student, presenting a couple of CEUs to my staff, receiving an Asha grant to start a new program and preparing for our convention presentation, serving on practice teams, etc have led me to realize I’m doing way too much and working 4 10-hour days significantly cuts into my personal time. I’m trying to find a better balance so that my entire life doesn’t revolve around speech pathology. "
2022-10-07 00:42:14,2022-10-07 00:57:27,IP Address,166.196.75.89,100,913,True,2022-10-07 00:57:28,R_Qh4QOIXXt1RSO1X,,,,,34.032,-118.2442,anonymous,EN,I agree,Yes,Female,,California,Urban (population of 50k+),Educational,,15,2,2,22,No,PT,A few times per month,A few times per month,A few times per month,A few times per month,Once a month,Never,A few times per month,Once a month,Never,A few times per year,Once a week,A few times per week,A few times per week,Once a week,A few times per week,A few times per month,Every day,A few times per week,Once a week,Once a week,Never,Never,A few times per year,Once a month,Once a month,Yes. No other jobs taken though.,,So much less money per hour than physical therapy. Other professionals making more per hour than us.
2022-10-07 07:35:24,2022-10-07 07:39:06,IP Address,166.205.159.41,100,221,True,2022-10-07 07:39:07,R_12hGvuK49UAbJG6,,,,,26.2681,-80.2092,anonymous,EN,I agree,Yes,Female,,Florida,Urban (population of 50k+),Educational,,35,,0,2,Yes,,A few times per week,Every day,A few times per week,Once a month,A few times per month,Once a month,A few times per week,Never,Never,Once a week,Once a month,Once a week,Every day,A few times per month,Once a week,Once a month,Every day,Never,Never,Never,,Never,Never,A few times per month,Never,"I spend about 1-2 looking at current job postings, but do not apply",,Pay
2022-10-07 09:37:29,2022-10-07 09:38:46,IP Address,204.108.126.154,100,77,True,2022-10-07 09:38:47,R_3PYxvguhAUJyF8x,,,,,34.0757,-118.3161,anonymous,EN,I agree,No,Non-binary,,California,Urban (population of 50k+),Educational,,48,,0,1,No,speech-language pathologist assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07 17:46:19,2022-10-07 17:57:09,IP Address,174.206.165.132,100,650,True,2022-10-07 17:57:10,R_XH9OdUvOHyQVnln,,,,,40.7467,-74.0574,anonymous,EN,I agree,Yes,Female,,New Jersey,Suburban (population of 10k-50k),Educational,,50,,0,20,No,ESL teacher,A few times per week,A few times per year,A few times per week,A few times per week,A few times per year,Never,Every day,A few times per year,Never,Never,Every day,Every day,Every day,Every day,Every day,Never,Never,A few times per week,Every day,A few times per week,Never,Never,Never,Never,Every day,"Yes, I got very burned out after 10yrs at a SPED school and so I switched to my current regular ed school. What burned me out was dealing with a terrible administrator. For three years at my current school I adored my administrator and felt no stress, despite covid. However, this year I have a new administrator who is really stressful so far and I’m contemplating leaving because of her. My work doesn’t stress me out, but my boss somehow does have the power to stress me out.",,
2022-10-07 18:38:51,2022-10-07 18:40:42,IP Address,174.212.97.72,100,111,True,2022-10-07 18:40:42,R_277rz143Lu47pMD,,,,,35.7292,-84.3436,anonymous,EN,I agree,No,Female,,North Carolina,Rural (population of less than 10k),Educational,,40,,0,2,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-07 22:46:11,2022-10-07 23:00:12,IP Address,73.95.218.133,100,841,True,2022-10-07 23:00:13,R_prC8YpPy0DLRweR,,,,,39.5507,-107.787,anonymous,EN,I agree,Yes,Female,,Colorado,Rural (population of less than 10k),Educational,,,,0,7,Yes,,A few times per month,A few times per month,A few times per year,A few times per month,A few times per year,A few times per year,Once a week,Never,A few times per year,Never,A few times per week,Once a week,A few times per week,A few times per month,A few times per month,A few times per year,Once a week,A few times per month,A few times per month,Never,,A few times per month,A few times per month,Never,A few times per month,"Yes, mental health services helped me to decide to decrease my hours per week at work in October 2020. I have maintained those hours which has helped my stress levels. The downside is less pay but happiness is more important than money. ",,"I work at a school and often feel a lack of support from my special education department. My boss is the director of special education and she has no time to meet with my directly. I am mostly a free agent doing whatever I want at work. This has many pros and cons, the cons being when workload gets too high there is no one who seems to care to support me. Concerns often seem to fall on deaf ears if I can even find a time for anyone to meet with me. The special education department has a lot of turnover which means that new employees need much more support than seasoned ones and I’m expected to just keep doing what I’m doing even if there are many workload issues that lead to me not being able to provide the best services for my students. "
2022-10-08 09:28:22,2022-10-08 09:48:38,IP Address,172.58.238.173,100,1215,True,2022-10-08 09:48:39,R_3FXw25ZZE5qDkLc,,,,,40.7467,-74.0574,anonymous,EN,I agree,Yes,Female,,New York,Urban (population of 50k+),Educational,,45,,3,19,Yes,,Once a month,Once a month,A few times per month,Once a week,A few times per year,Never,A few times per month,A few times per year,A few times per year,A few times per year,Once a week,A few times per week,Once a week,Every day,Every day,Every day,Once a week,A few times per month,Once a week,A few times per week,,Never,Never,A few times per year,A few times per year,"I’’m not burned out yet, mostly because I have a unionized workplace.I used to work in non-union environments, private schools, charter schools, and our labor was excessively exploited. My union collectively bargains for our wages and working conditions, and so now, as of 2014, I get to take a duty-free, 50-minute lunch break, a 45-minute Prep period, and 45-min Admin period, for SESIS documentation, assessments and writing IEPs. The union makes all the difference. It’s a question that should be included in the survey: union or non-union workplace? It makes a world of difference in quality of life on the job. UFT also provides us with PTO, we only work 180 days a year, which is not the case for private school SLPs, and contracted fee-for-service SLPs. Mental health with a Union to back us up is much more high quality. ","Our Union (UFT) offers free mental health counseling through UFT MAP. Non union union workplaces did not offer that. On the contrary, they drove us crazy, to the point of quitting.","I (previously), not now, had an abusive administrator, in the NYCDOE, at a Bronx school. Despite us being unionized, bad administration is plentiful. Even if you’re the best SLP, most inspiring and most empathetic, most pro-active, if Admin doesn’t like you, they can still find ways to target you for termination. The UFT can help, but only so much. This can also be a factor in mental well-being: whether or not you have a good boss. This is a question that this survey should ask: “Do you have a good, fair boss?” It makes a big difference in mental health among SLPs."
2022-10-08 19:21:35,2022-10-08 19:30:14,IP Address,172.56.161.12,100,519,True,2022-10-08 19:30:15,R_1ewzGWCByqSSrwv,,,,,40.7364,-73.8695,anonymous,EN,I agree,Yes,Female,,New York,Urban (population of 50k+),Both,40,15,0,15,15,Yes,,A few times per year,A few times per month,Never,Never,Never,Never,Never,A few times per year,Never,Never,Every day,Every day,Every day,Every day,Every day,A few times per week,A few times per week,A few times per week,Every day,Every day,,A few times per month,Never,Never,Every day,No,,
2022-10-08 19:58:23,2022-10-08 20:11:17,IP Address,174.194.192.1,100,774,True,2022-10-08 20:11:18,R_214KOoSx39JktzH,,,,,37.7585,-122.1856,anonymous,EN,I agree,Yes,Female,,California,Suburban (population of 10k-50k),Educational,,60,0,0,7,Yes,,A few times per year,A few times per month,A few times per year,Once a month,Never,Never,Once a month,A few times per year,Never,Never,A few times per year,A few times per month,Once a month,A few times per year,Once a month,Once a week,A few times per year,Never,Every day,Every day,A few times per week,A few times per month,A few times per month,Never,A few times per month,,,
2022-10-08 20:09:47,2022-10-08 20:18:57,IP Address,24.149.215.177,100,549,True,2022-10-08 20:18:58,R_1OqMItzKbUcxoSh,,,,,29.9978,-94.5746,anonymous,EN,I agree,Yes,Female,,Texas,Urban (population of 50k+),Educational,,40,,0,4,Yes,,Every day,A few times per week,A few times per week,A few times per week,A few times per month,A few times per year,A few times per week,A few times per month,Never,Once a month,A few times per week,A few times per week,Every day,A few times per week,A few times per week,A few times per week,Every day,Every day,Once a month,Every day,,A few times per week,A few times per week,A few times per week,A few times per month,"Yes. I sought out mental health counseling for anxiety and depression that was exacerbated by my job. I currently see a therapist every other week to address my anxiety and work is often a related aspect of that. My counseling seeks to help me see myself as human, that I will make mistakes, and that I have to have limits. However, these are not yet tools I feel I implement effectively. For others, I am compassionate, but not for myself. I hold myself to a high standard and that is the cycle of my anxiety. ",,"Other professionals who do not do their job and I have to patch it up. Other SLPs who have left compliance mistakes and issues I have to fix. Inequity of caseload distribution. Professionals who are not trained in basic classroom supports and I have to spend time documenting and training them. "
2022-10-09 05:16:09,2022-10-09 05:25:24,IP Address,72.80.134.127,100,555,True,2022-10-09 05:25:24,R_3nwkhtaW7mzc7Na,,,,,41.0275,-73.9466,anonymous,EN,I agree,Yes,Male,,Connecticut,Urban (population of 50k+),Medical,30,0,0,12,0,No,Audiologist,Once a month,Once a month,Once a month,Once a month,Once a month,Never,A few times per year,Never,Never,Never,A few times per month,A few times per month,A few times per week,A few times per week,A few times per week,Once a week,Once a month,A few times per month,A few times per week,Every day,,A few times per month,A few times per month,A few times per year,A few times per week,No,NA,"Lack of ability to grow professionally and make financial gains. "
2022-10-09 06:18:06,2022-10-09 06:21:29,IP Address,173.48.155.175,100,203,True,2022-10-09 06:21:29,R_Zq94DRpzAURXolj,,,,,42.2546,-71.4564,anonymous,EN,I agree,Yes,Female,,Massachusetts,Suburban (population of 10k-50k),Educational,,35,,0,7,Yes,,A few times per year,A few times per year,A few times per year,A few times per year,Never,Never,A few times per year,Never,Never,Never,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,A few times per year,,Never,Never,Never,A few times per year,,,
2022-10-09 18:27:26,2022-10-09 18:38:31,IP Address,24.185.97.112,100,664,True,2022-10-09 18:38:31,R_12JbFZJ4dSnpcUu,,,,,40.9457,-73.0611,qr,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Both,15,10,4,20,2,Yes,,A few times per year,A few times per year,Never,A few times per year,Never,Never,Never,Never,Never,Never,Every day,Every day,Every day,Every day,Every day,Once a week,A few times per month,A few times per week,Every day,Every day,Never,A few times per week,Never,A few times per year,Every day,"No ",,
2022-10-10 06:34:17,2022-10-10 06:38:23,IP Address,129.49.252.109,100,245,True,2022-10-10 06:38:23,R_3CHr5PGdRayOEM0,,,,,40.9426,-73.1116,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Medical,0,,,24,1,No,pre-med,A few times per week,Every day,Once a week,Every day,A few times per week,Once a week,Once a week,Once a week,A few times per month,A few times per month,A few times per week,Every day,Every day,Every day,A few times per week,Once a month,A few times per week,A few times per week,Never,Never,Once a week,Once a week,Never,Never,Every day,,,
2022-10-10 09:19:27,2022-10-10 09:27:51,IP Address,216.255.126.238,100,503,True,2022-10-10 09:27:52,R_3pak2qU4ijCibVZ,,,,,40.904,-72.4136,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Medical,30,,8,34,0,Yes,,Once a month,Once a week,A few times per year,A few times per month,Never,Never,A few times per year,A few times per year,Never,Never,Every day,Every day,A few times per week,Every day,A few times per week,Every day,Once a week,A few times per week,A few times per week,A few times per week,,A few times per month,A few times per month,Once a month,A few times per week,,,reduced staff and ability to recruit qualified individuals to fill key positions
2022-10-10 09:52:48,2022-10-10 09:55:15,IP Address,108.14.45.135,100,146,True,2022-10-10 09:55:15,R_1f7ym3RfMDdCfP6,,,,,40.7809,-73.9502,anonymous,EN,I agree,Yes,Female,,New York,Urban (population of 50k+),None of the above,,,,33,4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10 16:09:02,2022-10-10 16:10:45,IP Address,129.137.96.17,100,102,True,2022-10-10 16:10:45,R_3KW52eSoCJDb8O3,,,,,39.1256,-84.5127,anonymous,EN,I agree,Yes,Female,,Ohio,Urban (population of 50k+),None of the above,11,,25,23,5,No,Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-10 18:47:45,2022-10-10 18:58:26,IP Address,72.13.154.202,100,641,True,2022-10-10 18:58:27,R_SHR7I3oK3zR8wiR,,,,,26.7162,-80.0695,anonymous,EN,I agree,Yes,Female,,Florida,Urban (population of 50k+),Medical,40,,4,10,0,Yes,,A few times per year,Once a month,A few times per year,A few times per year,Never,Once a month,A few times per year,Once a month,A few times per year,A few times per year,Once a week,Once a week,A few times per week,A few times per week,A few times per week,Once a week,Once a month,Never,A few times per week,Every day,,Every day,Every day,Once a month,Once a week,In December 2021 I was offered a position outside of the field of speech therapy; I interviewed for the job and it felt exciting for the new opportunity after working non-stop in person during the pandemic. Ultimately did not take the position and happy I didn't now.,"Although still in a medical setting, changing companies recently has increased my mental health and has had a positive change to my outlook on day to day therapy.","Feeling you are unable to help the client; or do not have the resources to help the client effectively, efficiently - the cost of good CEU courses"
2022-10-10 19:22:32,2022-10-10 19:35:22,IP Address,50.89.131.174,100,769,True,2022-10-10 19:35:22,R_3pu2fDGJffu8qLr,,,,,28.3774,-81.1888,anonymous,EN,I agree,Yes,Female,,Florida,Urban (population of 50k+),Educational,,10,18,12,32,No,Special Education - Bilingual/TESOL Education,A few times per year,A few times per week,A few times per year,A few times per year,A few times per year,Never,Never,A few times per year,Never,Never,Every day,Every day,A few times per week,Every day,Every day,Every day,A few times per year,A few times per week,Once a week,A few times per week,A few times per year,A few times per month,A few times per month,A few times per month,Every day,"It has never been burnout - it was having or making opportunities to advance and learn more; thus, the career change was to work with different clients; settings; opportunities to learn and expand my knowledge and skills; ","Working across settings - the one thing that helped me to feel supportive has been having a series of mentors. Also being involved as a volunteer in organizations helped to put things in perspective; Above all, being intentional about work-life balance helped me to maintain mental health; ","Lack of administrative support or understanding of the role and responsibilities of a SLP has impacted job satisfaction; also lack of parent support was a factor; having colleagues that were not contributors or motivated to ""do the work"" is a factor in work-related stress (e.g. fell on the worker bees to carry the load)"
2022-10-11 09:57:55,2022-10-11 10:17:04,IP Address,69.117.17.114,100,1149,True,2022-10-11 10:17:05,R_2YPMEpMF2s0VAwD,,,,,40.8225,-73.2035,anonymous,EN,I agree,Yes,Female,,New York,Suburban (population of 10k-50k),Educational,,40,6,5,3,No,Elementary educator,Once a week,Once a week,Once a week,A few times per month,A few times per year,Never,A few times per week,Once a month,Never,A few times per year,Every day,Every day,Every day,A few times per week,Every day,A few times per week,Once a week,A few times per month,A few times per week,A few times per week,,Every day,A few times per week,A few times per year,A few times per year,None - have not reached threshold for requiring outside support,"The more the environment is like a ""business"" the less care regarding mental health I've noticed with higher adminstrators",Workload vs. caseload based on behavioral/dx severity
2022-10-11 13:29:13,2022-10-11 13:58:30,IP Address,108.170.77.234,100,1757,True,2022-10-11 13:58:31,R_reVIXDUKtzJoly1,,,,,40.916,-73.0497,anonymous,EN,I agree,Yes,Female,,New York,Urban (population of 50k+),Both,30,10,,11,11,Yes,,A few times per year,A few times per year,Never,A few times per year,Never,Never,A few times per year,A few times per year,A few times per year,Never,Once a week,Every day,Every day,Every day,A few times per week,Every day,A few times per year,A few times per week,Every day,Every day,A few times per month,Every day,Every day,Never,Every day,No,Most of my career has been in the Practice Practice setting in which I feel being surrounded by other SLPs has been a huge benefit to mental health.,The support of other medical providers to allow for a multidisciplinary approach.
